photo_number,id_number,collection_date,acclimation_time_h,water_type,temperature_c,exposure_time_s,colony_id,initial_weight_g,post_acclimation_weight_g,X48hr_weight,initial_rgb,X48hr_rgb,attachment,mold_cover,id_number...16,final_weight_g,survival,ChangeWetWeight
44,s_12_30_3,22-Oct,48,seawater,12,120,3,7.2,9.4,8.5,138.169,133.803,0,3,s_12_30_3,0.76,0,-8.64
45,s_12_30_4,22-Oct,48,seawater,12,120,4,7.39,9.91,10.53,141.565,152.106,1,0,s_12_30_4,8.77,1,-1.14
46,s_12_30_5,22-Oct,48,seawater,12,120,5,6.87,8.66,8.46,127.672,147.601,0,3,s_12_30_5,0.35,0,-8.31
47,s_12_60_1,22-Oct,48,seawater,12,60,1,7.06,8.7,8.47,147.953,155.36,1,4,s_12_60_1,3.29,1,-5.41
48,s_12_60_2,22-Oct,48,seawater,12,60,2,7.4,10.37,8.65,167.017,149.327,1,0,s_12_60_2,5.53,1,-4.84
49,s_12_60_3,22-Oct,48,seawater,12,60,3,6.66,8.6,9.9,152.743,152.055,1,4,s_12_60_3,5.89,1,-2.71
50,s_12_60_4,22-Oct,48,seawater,12,60,4,7.1,9.54,8.23,136.532,134.837,0,5,s_12_60_4,1.83,0,-7.71
51,s_12_60_5,22-Oct,48,seawater,12,60,5,6.86,7.21,7,136.168,157.986,0,5,s_12_60_5,2.61,0,-4.6
52,s_50_30_1,22-Oct,48,seawater,50,120,1,7.2,9.5,10.5,127.463,138.385,0,5,s_50_30_1,5.53,1,-3.97
53,s_50_30_2,22-Oct,48,seawater,50,120,2,7.1,10.3,13.39,178.875,170.456,0,5,s_50_30_2,5.78,0,-4.52
54,s_50_30_3,22-Oct,48,seawater,50,120,3,7,11.6,13.94,185.986,150.211,0,5,s_50_30_3,9.24,1,-2.36
55,s_50_30_4,22-Oct,48,seawater,50,120,4,7.5,11.64,14.31,148.076,142.6,0,4,s_50_30_4,7.56,0,-4.08
56,s_50_30_5,22-Oct,48,seawater,50,120,5,7.44,8.39,7.58,151.639,157.563,0,1,s_50_30_5,3.86,1,-4.53
57,s_50_60_1,22-Oct,48,seawater,50,60,1,7.32,11.17,12.59,158.725,172.407,0,5,s_50_60_1,2.5,0,-8.67
58,s_50_60_2,22-Oct,48,seawater,50,60,2,6.96,10.08,9.9,141.27,148.649,0,5,s_50_60_2,6.62,0,-3.46
59,s_50_60_3,22-Oct,48,seawater,50,60,3,7.8,10.31,12.74,126.665,146.379,0,2,s_50_60_3,7.53,1,-2.78
60,s_50_60_4,22-Oct,48,seawater,50,60,4,7,9.93,10.1,145.448,172.006,0,5,s_50_60_4,5.61,0,-4.32
61,s_50_60_5,22-Oct,48,seawater,50,60,5,7.29,7.73,7.69,136.826,142.608,0,0,s_50_60_5,4.42,0,-3.31
62,s_70_30_1,22-Oct,48,seawater,70,120,1,7.19,10.39,8.45,147.721,170.31,0,5,s_70_30_1,2.1,0,-8.29
63,s_70_30_2,22-Oct,48,seawater,70,120,2,7.04,11.09,9.05,167.759,151.123,0,5,s_70_30_2,1.11,0,-9.98
64,s_70_30_3,22-Oct,48,seawater,70,120,3,6.87,12.18,9.4,143.535,147.521,0,5,s_70_30_3,3.08,0,-9.1
65,s_70_30_4,22-Oct,48,seawater,70,120,4,7.3,9.9,9.2,137.035,142.363,0,5,s_70_30_4,5.4,0,-4.5
66,s_70_30_5,22-Oct,48,seawater,70,120,5,6.9,7.3,6.99,157.594,175.765,0,5,s_70_30_5,5.03,0,-2.27
67,s_70_60_1,22-Oct,48,seawater,70,60,1,7.28,10.23,9.26,147.858,164.989,0,4,s_70_60_1,3.51,0,-6.72
68,s_70_60_2,22-Oct,48,seawater,70,60,2,7.18,11.7,9.9,172.782,170.456,0,0,s_70_60_2,6.18,0,-5.52
69,s_70_60_3,22-Oct,48,seawater,70,60,3,7.2,9.65,10.18,162.625,154.762,0,5,s_70_60_3,5.01,0,-4.64
70,s_70_60_4,22-Oct,48,seawater,70,60,4,7.45,10.4,10.6,143.15,177.391,0,2,s_70_60_4,4.38,0,-6.02
71,s_70_60_5,22-Oct,48,seawater,70,60,5,7.49,8.91,8.28,135.978,176.885,0,2,s_70_60_5,4.24,0,-4.67
72,s_90_30_1,22-Oct,48,seawater,90,120,1,6.88,8.3,7.67,149.415,168.344,0,3,s_90_30_1,1.59,0,-6.71
73,s_90_30_2,22-Oct,48,seawater,90,120,2,6.9,9.49,9.2,141.652,157.966,0,3,s_90_30_2,3.64,0,-5.85
74,s_90_30_3,22-Oct,48,seawater,90,120,3,7.32,11.96,10.41,168.337,175.565,0,0,s_90_30_3,1.08,0,-10.88
75,s_90_30_4,22-Oct,48,seawater,90,120,4,7.4,10.4,9.2,175.027,197.987,0,4,s_90_30_4,0.59,0,-9.81
76,s_90_30_5,22-Oct,48,seawater,90,120,5,7.2,8.2,7.67,146.54,143.19,0,5,s_90_30_5,1.16,0,-7.04
77,s_90_60_1,22-Oct,48,seawater,90,60,1,7.06,9.27,8.8,139.187,153.241,0,3,s_90_60_1,0.96,0,-8.31
78,s_90_60_2,22-Oct,48,seawater,90,60,2,6.89,10.6,8.9,166.849,152.847,0,5,s_90_60_2,0.37,0,-10.23
79,s_90_60_3,22-Oct,48,seawater,90,60,3,7.11,10.69,9.28,148.648,179.496,0,5,s_90_60_3,2.83,0,-7.86
80,s_90_60_4,22-Oct,48,seawater,90,60,4,7.5,10.8,10.8,145.961,156.52,0,3,s_90_60_4,5.36,0,-5.44
81,s_90_60_5,22-Oct,48,seawater,90,60,5,7.45,9.6,8.62,115.523,158.263,0,3,s_90_60_5,3.64,0,-5.96
